Project ID,Project Leader,Project Title,Fellowship recipient,Fellowshiptype
DP0877274,"Lister, G",Tectonic mode switches and the nature of orogenesis,Dr MA Forster,ARF
DP0877285,"Modesti, A", Mapping Matrons: Women's Cultural Patronage Networks in Seventeenth Century Northern Italy: from Maria Cristina of Savoy to Vittoria della Rovere.,Dr A Modesti,APD
DP0877360,"Caruso, F",Engineering and Assembly of Bioinspired Nanostructured Materials,Dr AP Johnston,APD
DP0877379,"Rhodes, G",Adaptive processes in normal and disordered face perception,Prof GI Rhodes,APF
DP0877407,"Weidemann, G",The interaction between cognitive expectancy and conditioned responding in human eyeblink conditioning.,Dr G Weidemann,APD
DP0877417,"Nicholls, N",Scientific basis for improved climate predictions on seasonal and climate-change timescales.,Dr N Nicholls,APF
DP0877430,"McNally, G","Predicting danger: The nature, consequences, and neural mechanisms of predictive fear learning",Dr GP McNally,QEII
DP0877447,"Jarvis, P",Markov invariants and phylogenetic tree reconstruction,Mr JG Sumner,APD
DP0877463,"Tacon, P","Picturing change: 21st Century perspectives on recent Australian rock art, especially that from the European contact period.",Dr SK May,APD
DP0877501,"Menon, R",gem-Dihalogenocyclopropanes as building blocks for the chemical synthesis of biologically active natural products and their analogues,Dr RS Menon,APD
DP0877530,"Goggin, G","Young, Mobile, Networked: Mobile Media and Youth Culture in Australia",Ms KJ Crawford,APD
DP0877549,"Altman, J",Hybrid economic futures for remote Indigenous Australia: Linking poverty reduction and natural resource management,Prof JC Altman,APF
DP0877562,"Anderson, B",Large Scale Complex Multiagent Systems : Control Methodologies and Information Architectures,Mr C Yu,APD
DP0877603,"Curnoe, D",The Late Pleistocene Peopling of East Asia and Associated Climate-Environment History,Dr AI Herries,ARF
DP0877618,"Faulkner, J",The Concept of Innocence and the Political Community: Australian identity and social health,Dr J Faulkner,APD
DP0877624,"Pettitt, A",Novel Applied Bayesian Statistics for Monitoring Neuromuscular Diseases,Dr G Ridall,APD
DP0877630,"Neumann, K",Social Memory and Historical Justice: How Democratic Societies Remember and Forget the Victimisation of Minorities in the Past,Dr MM Tumarkin,APD
DP0877639,"Elliott, R",Dynamic risk measures,Prof RJ Elliott,APF
DP0877642,"Couch, W",Rich clusters of galaxies: probing galaxy evolution and dynamical growth under the most extreme conditions,Prof WJ Couch,APF
DP0877658,"Dixon, N",Functional Dissection of the Bacterial Replisome,Prof NE Dixon,APF
DP0877665,"Kay, J",Pervasive Lifelong User Modelling for User Controlled Personalisation and Augmented Cognition,A/Prof J Kay,ARF
DP0877692,"Clark, J",The Asian Modern,Prof JA Clark,APF
DP0877706,"Caine, B","History and the Individual Life: Autobiography, Biography and the history of the self in the British World c1750 -1980",Prof B Caine,APF
DP0877721,"Ridgway, M","Tailoring the Shape, Size and Orientation of Metal Nanocrystals via Swift Heavy Ion Irradiation",Dr P Kluth,ARF
DP0877742,"Munday, P",Global climate change and the future for coral reef fishes,Dr PL Munday,QEII
DP0877750,"Chang, L",Towards new generations of lubricants using nanoparticles,Dr L Chang,APD
DP0877782,"David, B","Archaeology of the Gulf Province Lowlands, Papua New Guinea",Dr B David,QEII
DP0877805,"Betts, A",A study of a newly discovered corpus of early Central Asian wall paintings,Dr FJ Kidd,APD
DP0877841,"Bosworth, R",The cult of the Duce in the wider world,Ms D Baratieri,APD
DP0877846,"White, R",Shakespeare and film genres,Prof RS White,APF
DP0877848,"Woodruff, T",Role of the complement system in the healthy and diseased central nervous system,Dr TM Woodruff,APD
DP0877868,"Craven, R",Realising Gifted Students' Potential: Elucidating psychosocial determinants and the impact of different educational settings on educational outcomes and psychosocial wellbeing,Ms M Seaton,APD
DP0877875,"McKenzie, R",Modelling quantum dynamics of electronic excited states in complex molecular materials,Prof RH McKenzie,APF
DP0877883,"Turpin, A",Indexes Allowing Fast and Efficient Text Search,Mr SJ Puglisi,APD
DP0877887,"Stubbs, K",To gain insight into the molecular mechanisms involved in antibiotic resistance shown by Gram-negative bacteria.,Dr K Stubbs,APD
DP0877905,"Cinner, J",How can communities sustainably manage coral reefs? ,Dr JE Cinner,APD
DP0877911,"Griffen-Foley, B",From Print to the Internet: The Media in Australia since 1803,Dr BL Griffen-Foley,QEII
DP0877914,"Elaridi, J",New polymerisation processes for the synthesis of novel biopolymers,Dr J Elaridi,APD
DP0877936,"Streed, E",A Photonic Interconnect for Trapped Ion Quantum Computing,Dr EW Streed,APD
DP0877979,"Beaumont, L",Where will species go? Revolutionising projections of species distributions with climate change,Mrs LJ Beaumont,APD
DP0877983,"Kasumovic, M",The importance of phenotypic plasticity in maintaining and introducing variation,Mr MM Kasumovic,APD
DP0877998,"Murphy, M",Galaxy formation and femtosecond frequency combs,Dr MT Murphy,QEII
DP0878007,"Sah, P",Mechanisms of fear learning and extinction in the mammalian brain,Prof P Sah,APF
DP0878014,"Ho, S",Analysing and modelling molecular rate variation among nuclear and mitochondrial genomes,Dr SY Ho,APD
DP0878061,"Shen, G","Translucent Optical Networks: Architecture, Design, Operation, and Survivability",Dr G Shen,APD
DP0878077,"Johannessen, B",Synchrotron radiation techniques applied to melting and resolidification at a nanometric scale,Mr B Johannessen,APD
DP0878102,"Loveland, K",Novel roles for importin alpha proteins in the nucleus,Dr Y Miyamoto,ARF
DP0878108,"Tobar, M",Extending the spectrum and performance of ultra-stable frequency generation ,Dr JG le Floch,APD
DP0878108,"Tobar, M",Extending the spectrum and performance of ultra-stable frequency generation ,Prof ME Tobar,APF
DP0878113,"Qasim, T",Failure modes in ceramic-based layer structures: Relevance to failure of dental crowns,Dr TQ Qasim,APD
DP0878122,"Jiang, Z",Advanced Shape Development in Cold Rolling of Thin Strip,A/Prof ZY Jiang,ARF
DP0878136,"Allen, N",Brain development during adolescence and the emergence of depression: A longitudinal MRI study.,Ms S Whittle,APD
DP0878174,"Chen, M",The evolutionary transition from anaerobic to aerobic metabolism,Dr M Chen,QEII
DP0878177,"Bowman, D",Understanding the impact of global environmental change on Australian forests and woodlands using rainforest boundaries and Callitris growth as bio-indicators,Mr BP Murphy,APD
DP0878200,"Landman, K",Mathematical modelling in developmental biology,A/Prof KA Landman,APF
DP0878224,"Preiss, T",Role of mRNA polyadenylation control in gene expression,Dr TH Beilharz,ARF
DP0878365,"Hutmacher, D",Engineering Articular Cartilage with Zonal Structure and Function,Dr TJ Klein,APD
DP0878371,"Alais, D",Human time perception: A crossmodal investigation,Dr DM Alais,QEII
DP0878388,"Hobbs, G",Gravitational wave detection through millisecond pulsar timing,Dr G Hobbs,QEII
DP0878412,"Taylor, G",Leading the Australian High Energy Physics Program into a New Era of Discovery,Prof GN Taylor,APF
DP0878459,"Quispel, R",Geometric numerical integration of differential equations,Prof R Quispel,APF
DP0878464,"Wood, B",Molecular characterization of stem cell differentiation and oocyte maturation using synchrotron infrared spectroscopy and Atomic Force Microscopy/Raman imaging,Dr BR Wood,QEII
DP0878483,"Kitchen, M",Determination of lung morphology from X-ray phase contrast radiographs,Dr MJ Kitchen,APD
DP0878523,"Powell, B",Strongly correlated electron models for organic superconductors,Dr BJ Powell,QEII
DP0878525,"Kappler, U", Sulfur cycling in soil environments - how bacteria contribute to the oxidation of organic and inorganic sulfur compounds,Dr U Kappler,ARF
DP0878568,"Eyre, B","Unravelling Pathways of Nitrogen Cycling in the Muddy Sediments of Shallow Coastal Systems using Biomarkers, Stable Isotope Tracer Experiments and Modelling",Dr JM Oakes,APD
DP0878603,"Murcha, M",Functional characterisation of novel transport protein in plants,Dr M Murcha,APD
DP0878604,"Arnold, L",Pleistocene evolutionary dynamics and past environments of Siberia: Reconstructions using luminescence dating of ancient DNA sedimentary archives ,Dr LJ Arnold,APD
DP0878609,"Hudson, J",Environmental and genetic risk factors for anxiety disorders in children,Dr JL Hudson,QEII
DP0878650,"Griffiths, P",Postgenomic perspectives on human nature,Dr K Stotz,ARF
DP0878661,"Yu, X",Improvement and synthesis of advanced hydrogen storage materials for fuel cell applications,Dr X Yu,APD
DP0878674,"Tuthill, P",Multiplicity in Star and Planet Formation with the PAVO instrument,Dr MJ Ireland,APD
DP0878681,"Ross, J",Stochastic methods for studying models of infection and abundance,Dr JV Ross,APD
DP0878700,"Cameron, J",Indian Textile Technology as archaeological evidence for population movements in Early Southeast Asia,Dr JA Cameron,ARF
DP0878706,"Morrison, T",Isaac Newton's Temple of Solomon and his analysis of sacred architecture: An interpretation and discussion of Babson Manuscript 0434 ,Dr T Morrison,APD
DP0878756,"Bhosale, S","Construction and Use of Yoctowells as Vessels for Catalysis, Sensing and Artificial Photosynthesis",Dr SV Bhosale,APD
DP0878792,"Davies, S",Containing H5N1: the role of the World Health Organisation (WHO) and East Asian states ,Dr SE Davies,APD
DP0878830,"Vidal, G",Novel approaches to strongly correlated quantum systems in two dimensions,Dr R Orus,APD
DP0878849,"Diniz da Costa, J",Perovskite Asymmetric Hollow Fibres for Oxygen Separation in Clean Coal Energy Delivery,Dr S Liu,ARF
DP0878858,"Brown, S",A new kind of dynamics for psychology,Dr SD Brown,QEII
DP0878866,"Manderson, L",Immigration and parenting among Cambodian and Iraqi women in Australia,Dr EA Hoban,APD
DP0878870,"Minasny, B",Devising a methodology for the digital soil map of the world,Dr B Minasny,QEII
DP0878873,"Kennedy, E",Process for treatment of fluorine-containing synthetic greenhouse gases,Dr H Yu,APD
DP0878903,"Brugger, J","Molecular Structure and Transport Properties of Hydrothermal Fluids under Extreme Conditions: Near-Critical, High Salinity, High Pressure and High Volatile Contents",Dr J Brugger,APF
DP0878905,"Platow, M",When immigrants and converts are not truly one of us: Examining the social psychology and developmental antecedents of marginalizing racism,Dr DM Grace,APD
DP0878924,"Beekman, M",Understanding social cancers: Intra-specific parasitism by honeybee workers,Dr M Beekman,QEII
DP0878953,"Maier, A",Functional Genomic Analysis of Exported DNAJ Molecules in the Malaria Parasite Plasmodium falciparum,Dr AG Maier,ARF
DP0878968,"Dyer, A",Colour visual processing by honeybees: solutions for decision making in complex environments,Dr AG Dyer,QEII
DP0879070,"Dou, S",Giant Magnetocaloric Materials and Room Temperature Refrigeration,Dr J Kim,APD
DP0879071,"Byrnes, J",Solving the water crisis in Australian cities and towns with options contracts between urban and rural water users,Mr J Byrnes,APD
DP0879133,"Mylne, J",Circular Plant Proteins with Pharmaceutical Applications,Dr JS Mylne,QEII
DP0879152,"Luszcz, M",How Individual and Societal Resources Contribute to Ageing Well through the Fourth Age: The Australian Longitudinal Study of Ageing,Dr CM Hayles,APD
DP0879238,"Rennie, A",Modular Index Theory,Dr AC Rennie,ARF
DP0879245,"Rabaey, K",EXTRACELLULAR ELECTRON TRANSFER IN BIO-ELECTROCHEMICAL SYSTEMS,Dr K Rabaey,APD
DP0879251,"Bowman, J",Understanding how auxin and dorsoventral patterning are coordinated in plants,Dr MG Heisler,ARF
DP0879258,"Sorial, S","Can saying something make it so? Sedition, speech act theory and the status of freedom of speech in Australia",Dr S Sorial,APD
DP0879277,"Symul, T",Quantum repeater technologies for continuous variable,Dr T Symul,ARF
DP0879313,"Tschirren, B",Mother knows best: an integrative study on the causes and fitness consequences of individual maternal strategies in the Australian zebra finch,Dr B Tschirren,APD
DP0879350,"Wood, D",The Structure and Geometry of Graphs,Dr DR Wood,QEII
DP0879380,"Parker, A",Future generation high-performance radio communications circuits in gallium nitride technology,Mr P Blockley,APD
DP0879445,"Jones, J","Rural women, cross-racial collaboration and life writing in the Country Women's Association of New South Wales, 1956-1996.",Dr J Jones,APD
DP0879451,"Kendrick, M",Volatile recycling at the crust-mantle interface: Evidence from halogens and noble gases in deep-crustal fluids.,Dr MA Kendrick,QEII
DP0879472,"Stancliffe, R",The origins of carbon-enhanced metal-poor stars,Dr RJ Stancliffe,APD
DP0879480,"Pringle, J",Advanced Ionic Materials for Organic Photovoltaics.,Dr JM Pringle,QEII
DP0879556,"McArthur, G",Children's difficulties in learning to read: Causes and consequences of poor letter-sound knowledge,Dr G McArthur,ARF
DP0879571,"Kenny, R","Psychoanalysis, Anthropology and the Australian Aborigine: the revaluing of myth in the twentieth-century",Dr R Kenny,APD
DP0879584,"Zhu, J",Development of Superflux Carbon Nanotube Membranes for Gas Separation,Dr J Zhu,QEII
DP0879589,"MacLeod, C","How biased engagement with, and biased disengagement from, emotional information contribute to alternative dimensions of anxiety vulnerability",Prof C MacLeod,APF
DP0879605,"White, C",The evolution of periodic ventilation in insects,Mr PG Matthews,APD
DP0879609,"Nguyen, T",Developing a new technology: advanced surface hardening and grinding in a single operation,Dr T Nguyen,APD
DP0879612,"Hillis, R",Compressional Deformation and Uplift of Australia's Passive Southern Margin,Dr SP Holford,APD
DP0879624,"Brumm, A",A reassessment of early human stone technology from a Southeast Asian perspective,Mr AR Brumm,APD
DP0879635,"Desyatnikov, A",  Engineering phase and the flow of light in nanophotonics,Dr AS Desyatnikov,ARF
DP0879647,"Chelkowski, S",Advances in Quantum Imaging and Quantum Memory using Squeezed Light and Entanglement,Mr S Chelkowski,APD
DP0879731,"Fuhrer, A",Towards Quantum Electromechanical Devices with Semiconductor Nanowires,Dr A Fuhrer,QEII
DP0879738,"Provis, J",Geopolymers for nuclear applications,Dr JL Provis,APD
DP0879769,"Lu, G",Novel Hybrid Inorganic Nanoparticles for Effective siRNA Delivery to Neurons,Dr Z Xu,ARF
DP0879926,"Ticknor, C",Understanding Collisions of Cold Polar Molecules,Dr CC Ticknor,APD
DP0879933,"Pan, A",Tailoring superconducting hybrid multilayered film systems for electric and electronic applications,Dr AV Pan,ARF
DP0879940,"Ruffell, S",A novel maskless process for patterning and doping of silicon,Dr S Ruffell,APD
DP0879971,"Cardillo, M",Anatomy of a biodiversity hotspot: investigating the evolutionary and ecological basis of high plant diversity in southwestern Australia.,Dr M Cardillo,QEII
DP0879972,"Priest, G",The One and the Many - the Path Through Contradiction,Prof GG Priest,APF
DP0879996,"Moore, E",Novel Lanthanide Complexes and Polymeric Luminescent Chelates for Biomedical Imaging and Bioassay,Dr EG Moore,APD
DP0880004,"Lewis, A",Love narratives in contemporary German literature since 1990,Dr AW Hurley,APD
DP0880017,"Catchpole, K","Photonic structures for high efficiency, low cost solar cells",Dr KR Catchpole,ARF
DP0880023,"Wilson, K","Maximising the conservation of biodiversity and the delivery of ecosystem services: What to do, where and when",Dr KA Wilson,APD
DP0880032,"Thurecht, K","Supercritical CO2: A Clean, Green Reaction Medium for Novel Polymer Synthesis and Modification",Dr KJ Thurecht,APD
DP0880065,"Moffat, A",Static and Dynamic Query Pruning Techniques for Complex Text Retrieval Systems,Dr AN Vo,APD
DP0880067,"Luckins, T","A History of Cosmopolitanism in Australia, 1850-2000",Dr TG Luckins,APD
DP0880072,"Izgorodina, E",Computational approaches to selection and design of ionic materials,Dr EI Izgorodina,APD
DP0880087,"Peng, X","Population ageing, labour mobility and sustainability of China's economic growth - a dynamic general equilibrium analysis",Dr X Peng,APD
DP0880105,"Daly, N",Elucidating the chemical and biophysical basis for the bioactivity of cyclotides: ultra-stable proteins from plants,Mrs ST Henriques,APD
DP0880120,"Evans, A",Megafauna and mega-extinction: assessing palaeocommunity change using dental complexity and shape analyses,Dr AR Evans,ARF
DP0880152,"Zhang, X",Interfacial Nanofluids ,Dr X Zhang,APD
DP0880204,"Gibson, G",Drosophila Quantitative Genomics,Prof GC Gibson,APF
DP0880205,"Inglis, D",Microfluidic device for microbial separation and concentration,Mr DW Inglis,APD
DP0880214,"Smyth, D",Genetic control of floral architecture,Dr M O'Brien,APD
DP0880291,"Woodland, A","International Trade Policy Evaluation, Economic Growth and Demographics",Prof AD Woodland,APF
DP0880374,"Carter, M","With or without pots: Investigating the archaeology of human settlement on Santa Isabel, western Solomon Islands",Dr MJ Carter,APD
DP0880404,"Drummond, P",Dynamics and correlations of many-body systems,Ms Q He,APD
DP0880404,"Drummond, P",Dynamics and correlations of many-body systems,Prof PD Drummond,APF
DP0880436,"Monro, T",Sub-wavelength light confinement,Dr Y Ruan,APD
DP0880437,"Jago, M",Rationality and Resource Bounds in Logics for Intentional Attitudes,Dr M Jago,APD
DP0880448,"McKinnon, N",Mereological Composition and Material Constitution,Dr NG McKinnon,APD
DP0880458,"Taliadoros, J","Sacred Rules, Secular Revelations: The Conceptions of Rights in Pre-Modern Europe",Dr J Taliadoros,APD
DP0880466,"Greentree, A",Solid Light: Frontiers and applications of solid-state Cavity Quantum Electro-Dynamics,Dr AD Greentree,QEII
DP0880484,"Flematti, G",Synthesis and evaluation of labelled germination stimulants for determining the role of butenolide in promoting seed germination.,Dr G Flematti,APD
DP0880490,"Evans, D",Hydraulic Systems and State Development in Early Cambodia: Mapping the Engineered Landscapes of the Khmer Using Remote Sensing,Mr DH Evans,APD
DP0880544,"Connolly, S",Understanding coral reef biodiversity: a modelling approach,A/Prof SR Connolly,APF
DP0880548,"Yang, C",Development of high-performance Si/Ge superlattice thermoelectric materials with optimization of lattice periodic thickness,Dr C Yang,APD
DP0880559,"Opie, J",Foundations for a Cognitive Biology,Dr PC Lyon,APD
DP0880568,"Latter, M",Integrated approach to self assembled molecular capsules,Dr MJ Latter,APD
DP0880615,"Ziino, B",The culture of war: private life and sentiment in Australia 1914-18,Dr B Ziino,APD
DP0880637,"Anderson, I",A mortality profile of Victoria's Aboriginal (and non-Aboriginal) children 1998-2008 using an innovative method and research process ,Dr CJ Freemantle,ARF
DP0880654,"So, C",Unveiling the mystery of tone perception: How does native language prosody affect adults' perception of foreign tones?  ,Dr CK So,APD
DP0880675,"Roberts, R","Monsoons and migrations: Quaternary climates, landscapes and human prehistory of the Arabian peninsula and the Indian subcontinent",Prof RG Roberts,APF
DP0880760,"Cole, S","The revival of Tudor church music 1880-1930: choral traditions, Roman Catholicism and English national identity",Dr SB Cole,APD
DP0880772,"Rennie, E","The reinvention of Indigenous media: Innovation, expansion and social development",Dr E Rennie,APD
DP0880789,"Bedford, S",Persistence and transformation in Ancestral Oceanic Society: the archaeology of the first 1500 years in the Vanuatu archipelago,Dr SH Bedford,QEII
DP0880801,"O'Neill, C",The role of supercontinents in Earth's dynamic evolution,Dr CJ O'Neill,APD
DP0880806,"Finkbeiner, M","Attention, Intention and Automaticity",Dr M Finkbeiner,ARF
DP0880815,"McNeil, B",An Investigation into Oceanic CO2 Variability and its Influence on Atmospheric CO2 Concentrations,Dr BI McNeil,QEII
DP0880853,"Goodman, J","Chaos, Information Technology, Global Administration and Daily Life",Dr JP Marshall,QEII
DP0880865,"Livesey, E",Attentional Processes in Human Associative Learning,Dr EJ Livesey,APD
DP0880874,"Zaslavsky, A",Adaptive data stream processing in heterogeneous distributed computing environments using real-time context,Dr MM Gaber,APD
DP0880919,"Cowley, E",Reducing irresponsible gambling: Changing a justification to an avoidance strategy.,Miss C Ioannou,APD
DP0880983,"O'Carroll, D",Target detection in visual clutter,Dr K Nordstrom,APD
DP0881019,"Griffith, S","Mate choice near and far: Genetic compatibility, sexual selection, and speciation in Australian grass finches",Dr SC Griffith,QEII
DP0881037,"Ajiev, S","Functional and harmonic analysis of function spaces: synthesis, development and applications",Dr SS Ajiev,APD
DP0881038,"Yabsley, B",A programme to study quarkonium-like states at ATLAS,Dr BD Yabsley,ARF
DP0881063,"Kim, J",Innovative visualization of next-generation biomedical images,Dr J Kim,APD
DP0881070,"Edvardsson, M",Sex and mutations - testing the genic capture hypothesis,Dr M Edvardsson,APD
DP0881112,"Arns, C",Reactive flow through porous media by micro-imaging,Dr CH Arns,ARF
DP0881114,"Bartlett, P",Complete calculation of positron- and electron-impact scattering of atoms,Dr PL Bartlett,APD
DP0881141,"Wong, E",New Strategies for Monitoring DNA-Anticancer Drug Interactions ,Dr EL Wong,APD
DP0881174,"Chi, B",Novel nanostructured InVO4 and related vanadates photocatalysts for water splitting under visible light irradiation,Dr B Chi,APD
DP0881219,"van Schaik, F",Electronic Auditory Pathway,Dr FA van Schaik,QEII
DP0881222,"Hild, S",Increasing the science output of future gravitational-wave detectors by implementation of advanced output-optics configurations ,Mr S Hild,APD
DP0881278,"Makochekanwa, C",Positronic Atoms - A Search for Positron Bound States,Dr C Makochekanwa,APD
DP0881279,"Price, G",Constructing a temporally-constrained palaeoecological model of Quaternary faunal evolution and extinction in eastern Australia,Dr GJ Price,APD
DP0881347,"Beatson, S",The evolution of bacterial pathogenesis: a genomic approach,Dr SA Beatson,ARF
DP0881385,"Zhang, L",An innovative manufacturing technology enabling new generations of hip joint prostheses,Prof L Zhang,APF
DP0881391,"Hill, D",Dynamic Analysis and Control for Hybrid Systems and Networks,Dr B Liu,QEII
DP0881449,"Okamoto, T",Control of cell survival by the Bcl-2 protein family,Dr T Okamoto,APD
DP0881466,"Yuan, C","Formation of nanocrystals (or nanocrystals with core/shell structure) and applications for photonics, floating gate and magnetic memory",Dr C Yuan,APD
DP0881513,"Martin, J",Enacting Reconciliation: Negotiating Meaning in Youth Justice Conferencing,Ms MS Zappavigna,APD
DP0881520,"Bond, C",Guarding and evolving the genome: interactions between DNA-repair enzymes and damaged DNA,Ms M Lee,APD
DP0881531,"Zeng, Q",Molecular modelling of the structure and mechanical properties of clay-based polymer nanocomposites,Dr Q Zeng,APD
DP0881564,"Ramos, F",Learning from Uncertain and Missing Labelling in Relational Data,Mr FT Ramos,APD
DP0881579,"Faraone, L",Resonant Nanostructures for Adaptive Optoelectronics ,Prof L Faraone,APF
DP0881615,"Dowling, M",Quantifying the adaptive immune response,Mr M Dowling,APD
DP0881706,"Hong, S",Algorithmics for Interactive 2.5D Graph Drawing,Dr S Hong,ARF
DP0881729,"Harrison, L",A multi-modal investigation of current and proposed structures and processes determining and sustaining quality in Australian centre-based child care ,Ms M Fenech,APD
DP0881742,"Broberg, J",Coordinated and Cooperative Load Sharing between Content Delivery Networks,Mr JA Broberg,APD
DP0881757,"Hauck, K",Modelling the Quality of Hospital Care in Australia,Dr K Hauck,APD
DP0881800,"Anderson, B",Image segmentation and the perception of lightness and color,Dr BL Anderson,APF
DP0881806,"McKenzie, D",Control of Protein Attachment and its Optical Detection,Prof DR McKenzie,APF
DP0881813,"Mian, A",Integration of Spatiotemporal Video Data for Realtime Smart Proactive Surveillance,Dr AS Mian,APD
DP0881857,"Selth, A",Burma's Role in Shaping the Asia-Pacific Strategic Environment,Mr AW Selth,APD
DP0984296,"Redding, P",The God of Hegel's Post-Kantian Idealism,Dr PD Bubbio,APD
DP0984341,"Wilson, M",Establishing the role of alpha-2-macroglobulin in quality control of extracellular protein folding,Mr JJ Yerbury,APD
DP0984399,"Athanasopoulos, G",Vector ARMA Models and Macroeconomic Modelling: Some New Methodology and Algorithms,Dr G Athanasopoulos,APD
DP0984402,"Zheng, R",Microscopic Origin of the Enhanced Flux Pinning in Nano-Doped MgB2 Superconductors,Dr W Yeoh,APD
DP0984426,"Ringer, S",Structure-Activity Relationships in Silicon-based Photovoltaics Through Atomic Scale Microscopy,Dr B Gault,APD
DP0984466,"Walker, D",Who determines gestation length - mother or fetus?,Dr H Dickinson,APD
DP0984494,"Rich, A",Keeping track: The effect of distraction on attention to moving objects,Dr AN Rich,APD
DP0984495,"Goodman, D",The New Rich and the State in China: The social basis of local power,Dr M Chen,APD
DP0984649,"Martin, P",Functional imaging of colour pathways in the living eye,Mr PA Bedggood,APD
DP0984678,"Bain, P",Collective futures: The effects of beliefs about future states of society on the support for and enactment of social change,Dr P Bain,APD
DP0984681,"Heryanto, A","Middle Classes, New Media and Indie Networks in Post Authoritarian Indonesia",Dr E Baulch,APD
DP0984683,"Parker, L",Education for a Tolerant and Multicultural Indonesia ,Dr R Raihani,APD
DP0984751,"Johnston, P",Dissociating facial processing pathways for static and dynamic information,Dr PG Enticott,APD
DP0984755,"Wang, Y",Understanding of nanostructures and magnetic properties of Ge-based diluted magnetic semiconductors for spintronic devices,Dr Y Wang,APD
DP0984807,"Santra, S",Blow-up phenomena in semilinear elliptic partial differential equations,Dr S Santra,APD
DP0984826,"Wilkins, J",Contemporary scientific explanations of religion: A methodological and philosophical analysis,Dr JS Wilkins,APD
DP0984863,"Cavalcanti, E","Quantum steering, nonlocality and foundations",Mr EG Cavalcanti,APD
DP0984876,"Banks, S",Life history responses to habitat heterogeneity and implications for conservation,Dr SC Banks,APD
DP0984888,"Pizzatto do Prado, L","Host-parasite interactions during a biological invasion: toads, frogs and nematodes in tropical Australia",Dr L Pizzatto do Prado,APD
DP0984915,"Blencowe, A",The development of unique cyclic polymers,Dr A Blencowe,APD
DP0984947,"Bolton, J","The first two billion years: the structural, chemical and thermal evolution of the intergalactic medium",Dr JS Bolton,APD
DP0984960,"Matuszewski, M",Nonlinear optics of soft matter,Dr M Matuszewski,APD
DP0984998,"Brady, L","The Kaurareg Archaeological Project, south-Western Torres Strait, Australia",Dr LM Brady,APD
DP0985024,"Meakins, F","Life after death: Exploring the birth of Gurindji Kriol, a new Aboriginal mixed language.",Dr FH Meakins,APD
DP0985084,"Zou, J",Epitaxial growth of Zn-VI/III-N nanowire-based structures for future device applications,Mr ZG Chen,APD
DP0985176,"Abell, A","Electron transfer in proteins, a study of mechanism and function",Mr J Yu,APD
DP0985208,"Hill, J",Mathematical and mechanical models in nano-engineering and nanomedicine,Dr BJ Cox,APD
DP0985312,"Lu, Y",Fundamentals of Damage Identification in Tubular Structures Using Guided Waves,Dr Y Lu,APD
DP0985317,"Mu, Y",Biotransformation and biodegradation of organic nitrogen compounds from wastewater in bio-electrochemical systems,Dr Y Mu,APD
DP0985361,"Lannuzel, D",Iron in the Antarctic sea ice zone and its role in the past and future climate,Dr D Lannuzel,APD
DP0985375,"Fillios, M",The Taphonomy of Waterhole Faunal Death Assemblages: A model for Archaeological Contexts in the Australian Semi-Arid Zone,Dr M Fillios,APD
DP0985397,"Dey, S",Resource-aware Signal Processing and Control Algorithms  for Networked Sensor Systems,Mr AS Leong,APD
DP0985433,"Forsythe, J",Using nanostructured biomaterials and stem cells to repair spinal cord injuries,Mr DR Nisbet,APD
DP0985481,"Massi, M",Design and synthesis of novel lanthanoid complexes for the fabrication of light emitting devices,Dr M Massi,APD
DP0985486,"Gardiner, D","A systems approach to dissect the pathogenicity and host specificity of the Fusarium wilt pathogen, Fusarium oxysporum",Dr DM Gardiner,APD
DP0985593,"Prebble, M","Tracking 3000 years of agricultural adaptation to the resource poor, climate sensitive and remote Solomon Islands using biomarkers and palaeoecology",Dr MJ Prebble,APD
DP0985623,"Krenske, E","Exploring new roles for phosphorus radicals in health, environment, and technology",Dr EH Krenske,APD
DP0985765,"Kritzer, P",High dimensional problems of integration and approximation,Dr PA Kritzer,APD
DP0985784,"Jeffrey, R",Mediated Mobility: India's Low Caste Revolution in the Media Age,Dr A Doron,APD
DP0985834,"Macarthur, J","The Baroque in Architectural Culture, 1880-1980",Dr AS Leach,APD
DP0985838,"Hu, J",Developing Reliable Bio-Crypto Features for Mobile Template Protection,Dr F Han,APD
DP0985845,"Anderson, W","Anatomies of Empire: Race, Evolution and Scientific Networks in the Twentieth-Century British World",Dr RL Jones,APD
DP0985851,"Zika, C","Reading the signs: disaster, apocalypse and demonology in European print culture, 1450-1700",Dr JS Spinks,APD
DP0985855,"Garanovich, I",Tunable shaping and switching of polychromatic light for integrated photonics,Mr IL Garanovich,APD
DP0986003,"Shaddock, D",Digital Interferometry: A platform technology for robust optical measurements,Mr JH Chow,APD
DP0986004,"Torrence, R",Valuing Stones: obsidian stemmed tools in the creation of social complexity in Papua New Guinea,Mrs NA Kononenko,APD
DP0986013,"Higgie, M",Diversity out of a hybrid zone: the interplay of reinforcement and sexual selection in the formation of new species,Ms MA Higgie,APD
DP0986025,"Hamilton, T",A neuromorphic binaural hearing sensor,Ms TJ Hamilton,APD
DP0986042,"Schaffer, G",The fabrication of amorphous metallic components by powder injection moulding.,Dr M YAN,APD
DP0986188,"Gardner, I",The digital restoration of the Dublin Kephalaia codex and its importance for the history of religions,Mr P Dilley,APD
